System,3wrobotNI
Controller,Stanley_CTRL
dt,0.1
state_init,[5.   5.   1.57]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[100, 100, 10, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,5.0,5.0,1.57,1,0.1,-0.22000000000000003,-0.284
0.0011,4.999999852328286,4.999800052135929,1.5701167256291402,1,0.2,-0.22000000000000003,-0.284
0.010979177237564228,4.999999754086039,4.997626633291672,1.571385524541809,1,0.30000000000000004,-0.22000000000000003,-0.284
0.06097917723756423,5.00004155378923,4.986626731611118,1.577807106431464,1,0.4,-0.22000000000000003,-0.284
0.11097917723756423,5.0001539889145326,4.975627325148056,1.5842286883211192,1,0.5,3,-1.8912577390645395
0.16097917723756422,4.978061322352363,5.091715081699312,2.187245360449433,1,0.6,2.2,-1.8912577390645395
0.2109791772375642,4.89034853143017,5.15472202248553,2.8500924857535432,1,0.7,2.2,-1.8912577390645395
0.2609791772375642,4.782437325816404,5.150411572209514,-2.7702456961219326,1,0.7999999999999999,3,-0.01789164149233831
0.3109791772375642,4.675146355789548,5.080079214511289,-2.7134077207256295,1,0.8999999999999999,2.2,-0.01789164149233831
0.3609791772375642,4.574987415150787,5.034602066576102,-2.7173443019103387,1,0.9999999999999999,2.2,-0.01789164149233831
0.41097917723756416,4.474650226553605,4.989519553795522,-2.721280883095048,1,1.0999999999999999,3,0.5598891199980274
0.46097917723756415,4.375794430223268,4.938704853532672,-2.596313315112979,1,1.2,2.2,0.5598891199980274
0.5109791772375641,4.285971511761003,4.875359119654424,-2.458418396927938,1,1.3,2.2,0.5598891199980274
0.5609791772375642,4.2057086309530085,4.800267784295048,-2.320523478742897,1,1.4000000000000001,3,0.3778645546209981
0.6109791772375642,4.134654121402742,4.716134412695585,-2.2285878626561964,1,1.5000000000000002,2.2,0.3778645546209981
0.6609791772375643,4.071287167164243,4.626262606243338,-2.1412613456337994,1,1.6000000000000003,3,0.16333244729949048
0.7109791772375643,4.0139386918455635,4.532212293198436,-2.100350371120318,1,1.7000000000000004,2.2,0.16333244729949048
0.7609791772375644,3.960105300792724,4.436292323404224,-2.0640942504401094,1,1.8000000000000005,3,0.06510759365677334
0.8109791772375644,3.908894586218283,4.338907363095279,-2.04775310254389,1,1.9000000000000006,2.2,0.06510759365677334
0.8609791772375645,3.8590986277291104,4.2408249739713595,-2.033409158221996,1,2.0000000000000004,3,0.12050927836499038
0.9109791772375645,3.811208754497708,4.141790027125886,-2.0078888641612207,1,2.1000000000000005,2.2,0.12050927836499038
0.9609791772375645,3.7659779062625174,4.041523109748367,-1.9812477327340816,1,2.2000000000000006,3,0.05300837692863246
1.0109791772375645,3.7228078319861497,3.9403338019761187,-1.9682106516516171,1,2.3000000000000007,2.2,0.05300837692863246
1.0609791772375645,3.680826857603855,3.838660499672406,-1.9565378736123147,1,2.400000000000001,2.2,0.05300837692863246
1.1109791772375646,3.640035526160903,3.7365041005065183,-1.9448650955730122,1,2.500000000000001,3,-0.03212950471051816
1.1609791772375646,3.5996463614108056,3.634164072351466,-1.9502276095224433,1,2.600000000000001,2.2,-0.03212950471051816
1.2109791772375647,3.5585423131909195,3.5321326712761065,-1.9572985338432374,1,2.700000000000001,3,-0.025482737815783432
1.2609791772375647,3.516778642655775,3.4303692525417278,-1.9630393426509571,1,2.800000000000001,2.2,-0.025482737815783432
1.3109791772375647,3.4744450535333473,3.3288417413592652,-1.968646758785446,1,2.9000000000000012,3,-0.018406290611090614
1.3609791772375648,3.4316072512305213,3.2275257043970704,-1.9728385665375505,1,3.0000000000000013,2.2,-0.018406290611090614
