System,3wrobotNI
Controller,Stanley_CTRL
dt,0.1
state_init,[ 5.   -5.    1.57]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[100, 100, 10, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,5.0,-5.0,1.57,1,0.1,-0.22000000000000003,-0.284
0.0011,4.999999852328286,-5.000199947864071,1.5701167256291402,1,0.2,-0.22000000000000003,-0.284
0.010979195777739778,4.999999754088442,-5.002373370787166,1.571385526922954,1,0.30000000000000004,-0.22000000000000003,-0.284
0.06097919577773978,5.000041553817826,-5.0133732724676205,1.577807108812609,1,0.4,-0.22000000000000003,-0.284
0.11097919577773979,5.00015398896932,-5.024372678930415,1.5842286907022642,1,0.5,3,0.547084920091318
0.16097919577773978,4.992795996801434,-4.924731930328061,1.7066025680890364,1,0.6,2.2,0.547084920091318
0.21097919577773977,4.970656371307099,-4.81706697988607,1.8406048991789579,1,0.7,2.2,0.547084920091318
0.26097919577773976,4.9343310096968915,-4.713325123942609,1.9746072302688793,1,0.7999999999999999,3,0.07833540291688232
0.31097919577773975,4.888705146587632,-4.612316414671118,2.0025161021856444,1,0.8999999999999999,2.2,0.07833540291688232
0.36097919577773974,4.8418171262620895,-4.5128115763715995,2.0197852289131246,1,0.9999999999999999,2.2,0.07833540291688232
0.4109791957777397,4.793217821044916,-4.414131249925697,2.037054355640605,1,1.0999999999999999,3,0.1335060549253944
0.4609791957777397,4.742428202591126,-4.31655254030188,2.065482359378794,1,1.2,2.2,0.1335060549253944
0.5109791957777398,4.68878254638455,-4.2205251312455525,2.0950294482040173,1,1.3,3,0.06265403483844577
0.5609791957777398,4.632922501254495,-4.125747188845686,2.1102665041630244,1,1.4000000000000001,2.2,0.06265403483844577
0.6109791957777398,4.575768042406242,-4.03176221263329,2.12406845653946,1,1.5000000000000002,3,0.4034257112974228
0.6609791957777399,4.514124878683281,-3.94022496437773,2.210671648474588,1,1.6000000000000003,2.2,0.4034257112974228
0.7109791957777399,4.444400918136469,-3.8551974367104256,2.3045758243196133,1,1.7000000000000004,3,0.8385361706105805
0.76097919577774,4.361576493104234,-3.781102547734118,2.5355472516777895,1,1.8000000000000005,2.2,0.8385361706105805
0.81097919577774,4.264437794175639,-3.7300750266683056,2.7802646784713816,1,1.9000000000000006,3,0.2846286684361324
0.8609791957777401,4.157779604464934,-3.6961203041765223,2.861068902534094,1,2.0000000000000004,2.2,0.2846286684361324
0.9109791957777401,4.051172635271921,-3.669087413142016,2.9254348397899848,1,2.1000000000000005,3,-3.141592653589793
0.9609791957777402,3.9430156859202032,-3.649147945476652,2.9935017574077922,1,2.2000000000000006,2.2,-2.84
1.01097919577774,3.833749416626297,-3.636651532783472,3.061939833514617,1,2.3000000000000007,2.2,-2.84
1.0609791957777401,3.723884373540055,-3.6316565109351875,3.1303779096214424,1,2.400000000000001,3,-0.41817658251247725
1.1109791957777402,3.6123416696193087,-3.626947533312801,3.0477614468557594,1,2.500000000000001,2.2,-0.41817658251247725
1.1609791957777402,3.5035033244196625,-3.6113084796372865,2.949996248099997,1,2.600000000000001,3,-0.23577402834773714
1.2109791957777403,3.396098122903124,-3.587042104321282,2.89304941938751,1,2.700000000000001,2.2,-0.23577402834773714
1.2609791957777403,3.2902427735841293,-3.557178605982806,2.8401961234873863,1,2.800000000000001,3,-0.6966735740675463
1.3109791957777404,3.187263230873382,-3.51599529194049,2.668098761772277,1,2.9000000000000012,2.2,-0.6966735740675463
1.3609791957777404,3.094520271189871,-3.4571342429730567,2.4840428261215672,1,3.0000000000000013,3,-0.29657672531842727
1.4109791957777404,3.009987886079034,-3.3854808802180814,2.4061649388802895,1,3.1000000000000014,2.2,-0.29657672531842727
1.4609791957777405,2.930959316673463,-3.3089960555008373,2.3389352799895278,1,3.2000000000000015,3,-0.37442975279098345
1.5109791957777405,2.8578849450339248,-3.226790926441073,2.2542344195409525,1,3.3000000000000016,2.2,-0.37442975279098345
1.5609791957777406,2.7921952400805776,-3.1386017653312632,2.1677814328616507,1,3.4000000000000017,3,-0.17886796055311113
1.6109791957777406,2.7325116454506464,-3.0460488313240957,2.1237509710574813,1,3.5000000000000018,2.2,-0.17886796055311113
1.6609791957777407,2.676615875893355,-2.9513172752785284,2.0839749171920787,1,3.600000000000002,3,-0.13842471157259706
1.7109791957777407,2.6241664621723304,-2.8546257534493225,2.052493616002962,1,3.700000000000002,2.2,-0.13842471157259706
1.7609791957777408,2.5747069854127074,-2.756377023323442,2.0218441668014386,1,3.800000000000002,3,-0.0645548238252811
1.8109791957777408,2.5276045835297034,-2.6569544125667175,2.0061250346800086,1,3.900000000000002,2.2,-0.0645548238252811
1.8609791957777408,2.481927448733818,-2.556887457918944,1.9919032122944045,1,4.000000000000002,3,-0.026757999358092224
1.910979195777741,2.4373331306750683,-2.4563277081606403,1.9852554689509299,1,4.100000000000001,2.2,-0.026757999358092224
1.960979195777741,2.393333374348351,-2.3555111099050974,1.9793673037348896,1,4.200000000000001,3,0.05030240084369319
2.010979195777741,2.3492212885223127,-2.254724471485184,1.988896974096773,1,4.300000000000001,2.2,0.05030240084369319
2.060979195777741,2.304002709039944,-2.154449068853837,1.9999728457343795,1,4.4,2.2,0.05030240084369319
2.1109791957777406,2.257676288342118,-2.0546806417407963,2.011048717371986,1,4.5,3,0.018040564579204416
2.1609791957777404,2.210534693160668,-1.9552907726583455,2.01566580160892,1,4.6,2.2,0.018040564579204416
2.2109791957777403,2.1630003454972933,-1.8560916299949652,2.0196351564503714,1,4.699999999999999,2.2,0.018040564579204416
2.26097919577774,2.115072616740529,-1.7570819490079512,2.023604511291823,1,4.799999999999999,3,0.24521221053711284
2.31097919577774,2.0646377267860583,-1.659158333060378,2.0740028994118016,1,4.899999999999999,2.2,0.24521221053711284
2.3609791957777397,2.0089664549822572,-1.5643023710037263,2.1290574943075637,1,4.999999999999998,2.2,0.24521221053711284
2.4109791957777396,1.9481599130698661,-1.4726535384819626,2.184112089203326,1,5.099999999999998,3,0.6020065059344172
2.4609791957777394,1.878718694396289,-1.386738908678127,2.3265116001288626,1,5.1999999999999975,2.2,0.6020065059344172
2.510979195777739,1.7975275404071456,-1.3126782943603426,2.477670629853947,1,5.299999999999997,2.2,0.6020065059344172
2.560979195777739,1.7061098450268206,-1.2516882701714105,2.6288296595790315,1,5.399999999999997,3,-3.141592653589793
2.610979195777739,1.6077056012442035,-1.2016392866698533,2.7048074059375207,1,5.4999999999999964,2.2,-2.84
2.6609791957777387,1.5065189015902651,-1.1585518204093463,2.7732454820443455,1,5.599999999999996,2.2,-2.84
2.7109791957777385,1.4026225551872022,-1.1224848391147968,2.8416835581511704,1,5.699999999999996,3,0.32862250387467806
2.7609791957777383,1.2964272451727454,-1.093893214931611,2.9161009406993124,1,5.799999999999995,2.2,0.32862250387467806
2.810979195777738,1.1883904378322532,-1.0733414540955981,2.9911179671599073,1,5.899999999999995,2.2,0.32862250387467806
2.860979195777738,1.0791171930922128,-1.060944494880913,3.0661349936205022,1,5.999999999999995,3,-0.6382277480538472
2.910979195777738,0.9667663336099448,-1.0465230690471383,2.9246525665348244,1,6.099999999999994,2.2,-0.6382277480538472
